,old_onoff,new_onoff
0,0.09204182,0.54198897
1,0.06403881,0.65310746
2,0.02951961,0.57975507
3,0.05090131,0.51379776
4,0.05603317,0.7266045999999999
5,0.06204682,0.682196
6,0.05796391,0.57975507
7,0.03181882,0.54170436
8,0.04119458,0.63166255
9,0.06877847,0.643232
10,0.03715836,0.61575353
11,0.02596562,0.54170436
12,0.07412421,0.6896512
13,0.03304891,0.682196
14,0.14983353,0.57975507
15,0.04005002,0.48416767
16,0.24649052,0.6461680000000001
17,0.02742466,0.682196
18,0.03912323,0.57975507
19,0.05281879,0.6414597
